date,production,f_production,capacity,f_capacity,new_orders,f_new_orders,unfilled_orders,f_unfilled_orders,shipments_volume,f_shipments_volume,delivery_time,f_delivery_time,inventory,f_inventory,prices_paid,f_prices_paid,prices_received,f_prices_received,wages,f_wages,employment,f_employment,avg_hours_worked,f_avg_hours_worked,capex,f_capex,outlook,f_outlook,biz_climate,f_biz_climate,uncertainty
2005-08-01,19.9,56.9,19.2,61.2,22.7,48.9,1.0,3.4,21.5,48.4,7.9,-7.2,-5.1,5.3,34.7,48.9,17.0,33.3,22.9,52.4,18.9,42.3,10.9,21.7,14.5,42.0,23.8,33.3,23.6,31.0,
2005-09-01,19.7,70.5,19.0,62.0,30.8,59.8,35.2,14.0,14.9,63.7,21.0,4.2,-8.9,20.0,56.3,64.6,16.7,50.0,23.2,48.1,11.3,44.0,4.7,19.0,8.5,33.2,30.2,41.2,27.4,39.5,
2005-10-01,34.8,48.2,29.2,51.8,31.6,43.0,11.4,-5.5,34.6,54.8,19.1,0.1,-12.1,12.7,57.4,51.7,35.3,45.6,22.5,51.1,24.2,32.6,16.0,16.2,10.1,29.3,18.9,31.5,20.8,24.3,
2005-11-01,30.5,55.6,26.0,54.5,29.9,48.9,-5.3,-5.5,34.8,60.2,-2.7,11.3,10.9,7.4,68.0,59.3,35.8,41.9,25.9,41.8,30.8,37.9,11.9,0.4,16.3,32.6,23.0,40.8,24.2,33.8,
2005-12-01,21.6,50.2,14.4,40.6,29.8,43.7,10.3,-8.1,24.2,58.4,9.4,-0.9,3.9,7.8,64.0,46.6,28.6,21.6,23.6,44.2,26.9,28.9,17.2,2.2,11.1,35.8,25.8,33.8,38.4,33.9,
2006-01-01,42.3,50.4,41.3,43.7,33.4,43.0,4.5,-10.4,36.9,51.3,1.4,-4.6,-1.6,1.7,50.7,40.5,17.8,25.4,23.7,48.5,28.6,29.4,16.4,11.7,26.1,37.9,32.4,38.5,31.1,31.2,
2006-02-01,34.8,54.4,25.1,50.1,36.6,50.5,5.0,-13.4,48.2,59.9,2.3,-6.8,4.9,6.5,40.8,36.6,20.2,27.8,27.1,46.7,19.9,28.9,17.9,7.1,22.3,41.4,36.2,39.1,28.4,32.9,
2006-03-01,28.0,43.9,22.8,44.5,31.8,41.9,3.8,-6.4,35.8,51.7,12.4,-10.1,9.8,1.5,26.6,37.3,12.7,31.4,32.1,47.4,25.7,28.7,9.9,10.7,14.5,29.0,27.5,33.3,32.4,32.4,
2006-04-01,23.5,52.0,14.3,46.4,0.7,48.5,5.3,8.3,24.6,54.2,7.6,-6.0,10.5,1.5,39.6,48.3,12.3,39.4,29.6,48.8,22.2,29.0,11.4,20.5,17.8,48.0,23.9,44.5,25.2,32.9,
2006-05-01,22.7,50.2,18.1,44.9,24.1,41.1,4.5,2.0,22.5,50.7,7.3,-4.6,1.5,4.4,44.3,43.1,24.0,24.6,35.0,45.0,23.9,28.1,7.9,21.1,11.0,48.1,26.2,39.5,19.0,21.2,
2006-06-01,34.8,46.4,33.7,47.1,35.1,35.0,15.6,0.2,34.9,42.1,8.6,-8.7,-11.3,0.0,45.5,51.6,25.5,36.1,19.9,50.0,17.6,32.1,14.4,6.5,10.6,32.3,17.7,25.5,14.5,12.3,
2006-07-01,18.8,38.0,12.3,35.3,3.4,47.6,-3.4,0.7,19.9,44.1,-3.0,-13.5,-1.5,4.8,57.1,43.9,19.8,33.4,31.8,43.8,18.9,40.5,6.0,16.5,18.3,40.1,7.9,17.1,11.3,9.1,
2006-08-01,33.5,40.2,27.9,36.6,20.2,35.7,-3.7,0.3,22.5,41.7,2.6,-4.6,12.9,9.6,52.7,40.4,22.7,14.8,23.5,45.0,14.9,34.5,8.9,10.8,19.5,38.2,14.6,24.2,10.6,16.6,
2006-09-01,14.6,33.9,12.4,43.5,0.7,28.7,-11.6,-12.8,13.7,31.6,-5.3,-5.8,12.7,12.9,32.8,31.6,7.2,25.8,28.8,55.1,8.7,30.8,2.5,5.9,22.8,27.5,17.6,28.3,13.8,14.4,
2006-10-01,11.9,40.9,8.3,39.5,2.3,42.8,-4.0,4.9,16.8,41.0,0.4,-11.5,21.6,6.6,24.3,37.6,4.9,11.7,35.2,52.6,11.5,36.1,5.2,10.5,11.4,26.2,13.4,18.2,5.2,14.7,
2006-11-01,15.9,48.2,8.2,52.5,1.6,43.7,-1.4,-0.1,13.0,47.6,-9.0,-8.0,16.9,8.7,23.0,36.6,12.2,20.3,28.1,48.5,5.8,23.3,-4.1,19.7,13.8,33.1,9.6,23.8,3.7,21.9,
2006-12-01,8.4,49.9,3.6,48.4,3.5,51.1,-9.5,1.1,3.4,50.2,-1.6,-11.6,8.6,3.4,24.2,44.4,4.8,13.8,26.2,48.7,3.7,9.9,-0.1,5.1,6.7,25.8,7.4,26.7,-6.7,19.7,
2007-01-01,10.3,39.9,2.6,37.5,4.3,37.5,-1.7,0.7,12.7,44.9,-0.3,-7.7,12.3,13.8,31.6,36.1,0.5,10.7,36.9,46.9,6.4,20.5,-5.4,4.9,8.7,19.5,8.3,15.1,0.2,2.4,
2007-02-01,16.0,55.4,17.7,47.1,24.6,45.9,6.7,5.3,15.8,55.1,5.5,0.5,6.4,8.8,28.2,41.4,14.4,26.0,23.5,42.5,15.4,36.3,6.1,11.8,13.2,36.2,23.5,34.3,21.7,33.3,
2007-03-01,14.5,51.0,16.4,45.0,7.6,47.3,-0.3,-4.7,17.1,44.8,5.8,-1.3,5.9,6.1,23.6,34.4,9.3,20.7,23.1,45.3,15.2,32.7,7.4,12.8,16.4,28.3,13.0,26.1,6.8,10.7,
2007-04-01,17.8,43.9,20.1,37.9,7.7,40.6,-3.0,0.0,17.3,43.1,3.9,-8.6,5.3,-1.8,32.5,35.9,12.9,18.7,21.5,45.0,9.0,25.3,3.3,12.4,16.1,32.3,14.0,22.3,9.8,16.7,
2007-05-01,15.8,39.8,11.2,33.5,12.3,38.1,1.2,-3.5,18.3,39.1,1.3,-6.3,4.0,4.1,35.2,39.9,15.0,26.7,17.3,46.8,15.8,25.5,5.8,10.2,13.3,28.2,14.9,26.8,16.0,21.7,
2007-06-01,10.7,44.4,9.5,39.1,10.8,38.8,-8.0,7.1,11.7,44.8,-2.5,-5.5,2.6,2.7,26.6,46.5,10.1,24.1,15.9,38.0,13.8,30.5,9.9,15.7,18.0,30.1,12.3,27.6,9.2,20.1,
2007-07-01,-0.4,42.9,-3.9,43.6,-11.1,43.3,-7.7,6.8,0.7,43.0,-1.4,-5.1,-7.1,3.6,32.6,44.1,12.7,24.3,20.3,45.5,1.5,24.5,-13.1,4.8,11.5,24.5,1.9,27.8,1.4,18.8,
2007-08-01,21.2,41.8,18.0,38.7,16.8,37.9,3.7,6.1,26.6,39.9,-3.6,-6.1,-3.6,0.0,23.9,37.6,7.3,15.4,18.2,42.4,0.4,20.9,1.7,11.5,10.3,28.2,3.2,20.0,2.1,11.0,
2007-09-01,8.0,42.7,4.7,30.8,5.0,37.6,-7.2,-2.2,7.9,38.7,-2.3,-5.9,5.4,-3.6,20.5,36.8,13.2,16.4,21.6,45.3,5.9,30.1,-1.6,5.4,16.1,16.9,4.1,9.4,-0.6,5.5,
2007-10-01,14.2,38.2,14.0,34.0,13.8,29.2,-13.7,-1.7,14.9,37.1,-7.0,-6.5,3.3,1.7,39.4,46.3,17.4,27.2,21.5,46.6,5.5,25.2,5.1,8.8,11.2,17.1,4.2,13.7,0.2,0.2,
2007-11-01,4.1,24.0,4.7,18.4,-3.9,26.5,-6.3,-1.8,6.2,27.3,-3.3,-8.5,-3.6,0.0,34.0,46.6,12.5,25.7,27.6,44.0,3.4,13.0,0.2,1.3,13.5,13.5,-0.6,3.9,-11.7,-6.4,
2007-12-01,-5.6,25.8,-5.3,24.8,4.3,22.4,-1.7,4.0,-6.3,29.1,-0.8,-4.7,-9.6,3.5,35.6,45.1,14.4,26.3,17.8,40.8,-3.2,22.2,-8.0,7.7,7.6,7.2,-8.2,-0.6,-21.4,-11.9,
2008-01-01,14.3,21.2,8.5,14.7,-0.1,19.3,-11.5,-6.7,6.0,20.0,-2.9,-5.7,-2.7,-8.0,37.3,43.9,11.5,22.5,27.8,31.7,8.9,11.0,-2.7,-4.1,-1.7,-3.2,-4.3,-1.5,-25.2,-22.1,
2008-02-01,5.0,23.7,5.3,19.5,-2.2,19.5,-8.4,-9.0,7.1,22.3,-4.6,-6.2,-5.4,-9.0,43.3,48.5,15.3,22.5,21.9,36.1,5.4,9.9,-7.2,0.9,3.5,3.2,-3.7,-2.2,-24.9,-16.8,
2008-03-01,1.1,18.4,-2.5,14.8,-1.2,19.8,-11.3,-2.9,0.7,20.9,-6.2,-6.6,-4.5,-7.3,58.8,55.0,25.1,30.9,23.3,44.0,5.4,3.0,0.5,-2.7,1.7,8.7,-11.3,-0.5,-28.2,-13.8,
2008-04-01,6.2,21.9,3.1,19.7,-1.7,18.7,-7.5,-5.3,5.4,22.1,-4.0,-6.0,3.6,-8.5,62.9,55.6,23.1,44.5,19.1,37.1,1.3,9.5,-0.2,0.0,2.9,3.8,-2.1,8.0,-29.7,-9.5,
2008-05-01,-3.7,20.2,-0.6,15.6,2.4,18.9,-11.3,-3.9,1.1,19.3,-8.0,-8.4,2.8,-14.1,61.5,56.1,29.2,38.7,21.4,41.7,-3.1,4.7,-5.0,-1.4,4.4,10.9,1.9,7.2,-14.9,-8.3,
2008-06-01,-3.3,26.1,-3.6,26.5,-8.0,26.4,-11.9,-4.1,-3.1,29.0,1.3,-3.0,-14.8,-10.3,68.6,65.5,32.0,43.9,22.7,39.5,-3.8,8.1,-11.8,4.2,-4.5,0.4,-17.1,0.3,-26.0,-6.1,
2008-07-01,9.4,19.4,11.6,21.2,-2.8,18.6,1.3,-5.5,14.7,20.4,1.4,4.9,-10.5,-7.7,66.4,67.3,31.3,57.8,18.8,52.6,5.4,5.2,3.9,-2.9,-5.0,2.9,-7.3,-2.9,-22.5,-12.9,
2008-08-01,-0.4,22.7,-0.3,18.4,-12.1,17.4,-12.1,-2.6,-4.1,21.9,-15.5,-7.8,-3.9,-3.9,54.1,50.1,21.8,37.6,18.4,38.8,-6.5,8.1,-6.1,-7.6,-2.4,6.7,-11.6,5.1,-15.2,1.8,
2008-09-01,-17.9,30.9,-15.7,25.3,-24.8,26.9,-9.0,-3.6,-18.8,27.1,-2.5,-11.8,-4.9,-9.9,29.8,31.5,11.1,25.5,15.4,34.5,-6.5,5.9,-21.5,2.7,-15.5,0.6,-20.3,-2.0,-35.8,-12.2,
2008-10-01,-10.4,6.4,-16.5,1.5,-20.0,-0.1,-12.3,-14.5,-5.4,-3.3,-4.8,-13.6,-17.8,-25.8,-2.7,-4.1,2.0,0.9,8.6,14.8,-11.6,-12.6,-13.0,-11.0,-16.3,-15.9,-31.6,-21.8,-53.2,-32.4,
2008-11-01,-13.2,-8.7,-15.6,-7.6,-31.4,-6.7,-29.4,-15.0,-20.2,-7.1,-10.5,-13.5,-23.5,-25.2,-31.8,-18.8,-14.0,-10.2,7.2,21.1,-18.6,-10.9,-23.4,-13.0,-14.3,-19.0,-37.6,-30.2,-55.8,-46.7,
2008-12-01,-19.5,-8.2,-26.9,-7.7,-37.5,-9.2,-27.8,-21.7,-20.2,-9.5,-13.3,-20.7,-21.1,-23.2,-44.6,-17.3,-21.9,-18.8,2.9,16.5,-20.7,-21.9,-30.8,-8.4,-21.7,-25.6,-42.0,-33.3,-57.3,-41.8,
2009-01-01,-19.5,-5.0,-21.1,-2.9,-41.3,-3.9,-27.7,-11.8,-27.7,-5.4,-8.0,-15.9,-12.5,-22.4,-43.3,-26.3,-26.9,-18.4,0.7,8.6,-28.3,-29.1,-22.2,-26.2,-30.0,-30.3,-40.4,-25.6,-55.0,-34.8,
2009-02-01,-37.7,-3.4,-39.7,-6.0,-43.5,-4.4,-30.7,-15.0,-37.8,-3.0,-20.9,-26.4,-12.4,-19.8,-36.5,-18.4,-32.1,-24.0,4.8,4.3,-40.6,-27.3,-33.4,-8.8,-42.9,-29.8,-50.4,-19.4,-60.3,-37.2,
2009-03-01,-34.4,10.6,-36.1,4.8,-42.8,9.8,-34.7,-13.2,-42.5,7.3,-22.1,-19.8,-10.8,-18.8,-47.2,-11.5,-33.3,-21.8,-9.1,5.4,-50.0,-18.9,-47.7,-2.6,-35.9,-15.8,-38.5,-5.4,-54.4,-11.7,
2009-04-01,-15.0,10.3,-17.6,12.9,-24.5,17.9,-21.8,-5.9,-14.1,16.7,-16.1,-15.6,-26.0,-13.0,-41.0,0.2,-32.3,-11.1,0.1,11.5,-40.7,-18.8,-28.9,4.1,-19.7,-5.9,-23.5,2.0,-37.9,-8.0,
2009-05-01,-21.2,21.5,-26.0,18.8,-19.4,28.5,-23.9,-3.1,-20.0,27.0,-24.3,-9.0,-29.0,-10.1,-33.1,3.1,-34.1,-8.1,-8.5,11.2,-31.2,-8.9,-25.4,3.5,-19.1,-16.2,-15.7,4.9,-25.9,7.6,
2009-06-01,-10.3,26.9,-14.9,26.5,-11.6,34.7,-17.1,2.3,-17.1,28.0,-17.7,-4.6,-17.2,-14.4,-9.6,17.7,-18.7,-1.0,2.3,13.3,-27.1,-0.8,-18.7,6.3,-19.4,-7.3,-12.5,11.4,-22.3,9.4,
2009-07-01,-8.1,29.1,-13.4,27.8,-8.3,28.1,-24.1,11.2,-13.4,21.3,-21.4,-3.8,-29.7,-8.9,-5.0,14.9,-23.9,2.3,-0.5,13.8,-25.0,7.4,-13.6,11.6,-21.7,-0.6,-13.4,11.7,-20.6,5.2,
2009-08-01,-11.5,35.5,-13.4,38.5,-7.7,40.1,-11.5,10.3,-17.3,33.7,-6.2,-1.3,-23.2,-9.2,20.7,34.8,-17.3,3.1,0.9,21.9,-16.5,5.2,-10.4,16.4,-16.9,1.8,-6.0,25.0,-5.4,25.5,
2009-09-01,-2.8,43.7,-5.5,37.8,5.5,40.6,-5.8,15.9,-2.7,41.3,-8.9,6.7,-21.3,-5.4,15.2,32.0,-16.7,2.1,1.8,19.2,-10.4,12.6,-8.2,21.7,-14.7,-0.5,-1.2,20.1,-2.4,18.3,
2009-10-01,-8.8,39.9,-10.0,38.9,-6.5,39.4,-15.4,6.0,-16.5,38.3,-4.5,-4.4,-16.5,-7.8,14.7,30.9,-18.4,-3.4,2.9,16.5,-12.3,19.6,-14.7,14.9,-12.4,-0.1,-10.2,21.8,-7.6,21.3,
2009-11-01,6.4,27.1,3.2,26.2,5.6,33.7,-9.6,-0.7,5.8,29.8,-3.0,-4.6,-21.7,-12.1,20.0,32.9,-10.2,12.1,-0.1,13.7,-14.3,5.0,-3.7,10.5,-13.7,-8.2,-1.1,20.9,-1.4,15.2,
2009-12-01,8.2,42.9,4.7,38.8,10.0,41.3,1.2,12.0,4.0,42.9,0.3,-2.9,-19.8,-5.5,25.8,53.3,-4.4,16.5,3.1,24.8,-3.7,22.1,-6.4,21.8,-12.3,7.9,1.6,24.7,4.1,27.1,
2010-01-01,15.5,46.8,9.0,40.5,23.2,46.9,2.8,5.0,12.3,47.0,-2.4,-5.3,-18.9,-6.7,30.8,54.8,-4.4,20.7,4.7,26.0,-3.8,17.3,2.0,17.8,-5.2,15.9,12.0,24.7,6.8,14.1,
2010-02-01,5.7,38.1,0.7,36.2,-1.1,40.4,-2.5,12.9,3.3,41.0,4.0,-1.3,-6.6,-1.1,36.3,46.7,-3.8,16.6,8.2,24.6,-4.4,17.1,-5.7,24.1,-9.9,1.8,-0.5,18.2,-3.9,15.1,
2010-03-01,12.1,30.7,11.5,28.7,16.1,28.4,7.1,3.9,6.5,35.6,-9.5,-3.0,0.0,3.4,34.3,38.5,-4.2,11.4,3.2,27.3,5.3,10.1,9.4,21.7,-8.6,8.3,6.2,14.7,6.7,14.3,
2010-04-01,25.8,34.3,21.7,31.5,20.1,29.2,10.6,6.8,23.9,27.8,3.0,-3.6,-6.5,6.5,38.5,45.6,2.7,16.5,16.3,26.2,10.9,17.9,20.6,17.4,-0.5,11.0,29.0,21.1,24.0,19.2,
2010-05-01,19.3,45.0,16.8,37.5,19.7,41.7,2.7,6.5,16.5,40.5,2.2,-9.1,-8.3,0.0,36.6,39.8,5.1,18.7,14.0,30.8,16.6,22.0,19.2,13.5,2.5,14.2,26.9,32.7,11.9,25.3,
2010-06-01,4.4,30.6,4.0,33.1,-1.5,33.8,-8.6,2.5,-0.2,34.4,-5.4,1.6,-8.6,-4.9,25.5,36.0,-5.3,15.7,4.1,27.3,7.5,15.2,-1.5,9.1,1.1,5.1,1.7,23.7,0.2,18.1,
2010-07-01,6.3,28.0,-1.4,23.9,-9.1,36.7,-11.8,2.3,1.7,29.1,-7.5,-4.1,-7.0,-3.0,10.7,22.9,-8.6,0.0,5.3,25.2,5.6,7.2,-4.1,4.8,3.7,4.9,-9.7,17.2,-17.0,12.6,
2010-08-01,5.7,27.7,-1.2,28.4,-1.6,27.5,-5.4,8.3,0.6,24.7,-3.0,-2.2,-8.2,-12.5,22.5,28.4,-3.9,7.2,8.0,24.0,-4.6,6.2,-5.2,6.3,-0.5,5.9,3.2,11.4,-8.5,3.7,
2010-09-01,3.5,41.1,4.9,33.3,5.3,39.2,-15.3,11.3,4.5,37.7,-9.5,-2.8,1.0,-10.3,21.8,31.7,1.3,19.8,9.0,21.6,2.4,10.2,-1.7,7.9,-14.0,6.7,-2.9,15.6,-13.3,9.7,
2010-10-01,5.4,39.0,-1.5,40.8,-0.1,42.9,-6.2,11.6,0.5,35.9,-9.4,-4.9,-12.5,-5.9,26.9,36.6,-1.8,11.0,12.4,22.8,-2.7,15.9,-5.8,21.7,-2.2,9.8,11.7,24.7,2.9,18.8,
2010-11-01,19.7,44.9,15.6,45.3,19.9,47.4,-1.5,11.7,18.2,49.6,3.7,-2.4,-12.2,6.2,33.5,42.3,6.9,22.9,7.2,31.2,8.5,34.0,8.9,23.0,4.0,20.9,19.5,29.3,18.7,25.5,
2010-12-01,16.7,46.1,16.4,47.5,13.2,45.6,-0.9,12.6,16.6,50.9,1.4,0.4,-1.1,22.3,41.6,45.6,11.5,28.7,11.5,33.8,15.9,31.8,12.8,18.6,7.4,20.0,13.9,35.9,17.2,32.3,
2011-01-01,2.6,52.3,4.1,49.7,11.9,51.1,-2.8,11.6,3.9,50.5,-4.4,-3.1,-8.3,5.2,61.5,53.7,16.5,34.4,11.5,30.2,9.1,34.6,2.0,22.3,3.7,18.9,11.9,36.1,8.0,32.8,
2011-02-01,10.5,46.3,12.1,39.0,16.7,43.1,1.6,7.2,7.4,44.8,-2.5,-0.3,8.4,6.4,62.2,66.2,14.3,33.4,11.0,43.1,8.5,33.6,2.9,19.8,5.2,23.4,11.2,25.0,14.5,22.9,
2011-03-01,24.0,46.1,18.8,42.9,13.6,45.0,-3.8,5.0,18.7,40.5,-4.7,-4.0,1.0,0.0,56.0,55.7,16.7,34.7,10.6,31.5,11.1,28.4,13.6,14.5,5.0,17.4,13.9,23.6,9.0,12.1,
2011-04-01,10.6,50.2,12.0,44.1,1.9,42.7,-0.1,4.5,9.9,46.0,-4.6,-2.5,4.2,-1.0,59.3,57.2,24.9,34.1,15.9,37.0,11.7,28.6,0.1,13.1,5.9,23.1,9.8,24.8,10.1,14.7,
2011-05-01,12.3,42.6,11.5,45.9,2.7,42.6,-6.0,14.4,8.8,45.3,-4.2,3.3,-4.3,-1.1,44.9,49.7,11.1,25.0,15.9,32.8,13.3,28.8,16.0,11.3,6.5,18.9,7.1,20.7,-1.4,8.2,
2011-06-01,6.2,36.3,0.9,28.6,6.8,28.2,-4.8,-3.9,0.4,33.6,-1.3,-3.5,0.0,2.4,30.5,45.2,11.6,22.2,14.8,34.8,4.0,18.1,1.5,10.5,1.7,24.9,6.9,12.9,-19.9,0.8,
2011-07-01,9.3,38.2,0.7,32.3,11.9,29.2,7.2,3.5,4.1,29.2,2.1,-4.3,0.0,-3.5,36.4,50.2,7.6,20.9,15.8,31.7,8.5,7.6,6.4,6.1,0.4,14.5,8.2,13.1,-3.2,1.6,
2011-08-01,2.7,26.8,0.9,25.5,3.5,28.0,-7.7,6.3,4.8,31.6,-4.3,-3.7,-6.4,-18.3,26.3,30.1,2.2,16.8,16.6,35.4,1.5,17.0,-3.4,6.3,7.0,22.8,6.4,14.7,-12.1,2.6,
2011-09-01,3.5,29.3,-2.5,27.8,1.2,28.6,-3.7,6.5,5.7,29.3,-4.8,-5.4,-6.4,-17.4,22.0,37.3,5.5,20.6,19.2,35.0,9.9,15.1,1.5,7.0,-1.0,13.8,-1.2,9.4,-15.6,-3.3,
2011-10-01,4.6,43.0,3.3,45.4,6.7,40.2,-3.4,9.6,1.2,39.1,-4.5,-2.2,-6.7,-6.8,14.9,37.2,0.5,20.5,10.7,34.1,12.0,22.2,6.5,9.5,7.5,17.8,3.3,20.2,1.2,10.3,
2011-11-01,-3.4,34.5,-6.8,31.6,-6.5,31.9,-6.3,5.1,-1.0,33.8,-0.9,-0.3,-9.9,1.2,15.7,29.3,1.7,13.8,13.2,35.8,7.7,9.8,5.0,12.0,5.2,8.8,2.3,17.8,3.1,7.6,
2011-12-01,0.2,36.9,3.2,36.0,-1.2,34.0,-3.5,6.8,-3.3,33.2,-4.4,-5.1,-7.9,-9.1,23.1,33.5,-2.5,25.0,18.7,39.4,9.1,19.5,2.3,5.3,7.7,18.2,1.7,17.9,-0.3,8.0,
2012-01-01,11.7,42.2,12.0,39.4,9.3,44.7,-0.6,9.3,6.5,43.5,8.5,3.6,0.0,6.7,23.6,40.4,6.6,27.0,16.4,35.2,12.8,21.4,6.4,8.6,6.0,23.3,13.8,26.5,14.0,20.4,
2012-02-01,13.2,41.0,13.9,36.6,8.4,36.1,-13.0,7.3,4.8,44.0,4.3,-4.7,-5.8,1.3,24.7,44.7,14.7,22.9,19.2,37.9,26.6,27.5,6.9,9.8,11.8,25.9,17.3,22.6,15.8,14.5,
2012-03-01,11.3,43.2,13.0,41.2,-0.5,44.4,0.3,13.2,10.5,42.4,5.1,-1.7,-8.0,7.0,26.9,53.8,-1.9,29.1,21.7,39.8,24.6,34.2,4.8,10.4,4.6,26.9,8.7,25.9,9.3,18.5,
2012-04-01,7.1,38.8,3.0,35.1,-4.2,32.0,-7.7,3.7,1.7,35.3,-2.4,-3.7,-5.6,-2.3,22.6,38.5,-5.9,16.1,15.9,36.7,12.6,20.1,-3.1,11.7,7.4,22.1,-3.9,15.7,-6.3,17.2,
2012-05-01,4.8,32.2,4.7,27.7,0.0,24.2,-2.9,3.8,1.9,26.9,0.5,-2.5,-2.4,-7.2,21.3,33.7,0.8,16.6,20.8,35.2,12.4,16.1,0.2,5.3,8.3,18.5,8.9,14.4,-2.4,7.0,
2012-06-01,17.6,33.2,16.2,29.7,10.6,27.8,9.7,-2.2,13.3,32.1,3.0,-6.4,-7.7,-1.1,0.1,16.1,-5.9,-4.5,12.5,26.7,15.5,18.2,3.3,3.2,10.4,16.8,6.4,7.8,1.6,2.0,
2012-07-01,10.5,25.2,7.7,19.5,-4.1,18.5,-4.4,-9.2,5.3,20.0,-0.3,-3.0,-8.0,-8.3,3.9,34.9,-5.1,13.8,24.4,36.0,10.6,14.5,5.2,1.4,0.4,14.3,0.1,4.8,-18.4,-7.9,
2012-08-01,7.3,29.5,3.3,28.0,-0.8,26.0,-10.6,-2.8,-3.5,32.4,-8.9,-6.3,6.7,-3.5,11.0,40.6,-1.0,21.6,13.0,35.2,13.6,19.2,1.9,0.9,4.2,20.1,3.1,7.3,-5.2,-3.1,
2012-09-01,7.6,31.2,6.0,25.2,4.4,27.0,-7.5,-3.2,2.5,29.5,-8.7,-3.2,-3.1,-6.5,19.1,47.1,-1.9,21.7,16.2,35.0,4.4,17.1,2.4,-0.5,9.2,21.1,1.1,10.5,-6.6,6.6,
